Time,Latitude,Longitude,counts
1714176381.99,0,0,1876.3
1714176391.97,0,0,157.0
1714176402.01,0,0,155.7
1714176412.03,0,0,159.1
1714176422.0,0,0,153.9
1714176432.03,0,0,157.9
1714176442.01,0,0,156.0
1714176452.0,0,0,152.9
1714176462.02,0,0,151.7
1714176471.97,0,0,157.4
1714176481.97,0,0,158.1
1714176491.97,0,0,158.0
1714176501.97,0,0,146.9
1714176511.98,0,0,162.2
1714176521.98,0,0,146.0
1714176531.98,0,0,158.5
1714176541.98,0,0,149.1
1714176551.96,0,0,149.1
1714176562.02,0,0,152.0
1714176572.03,0,0,149.9
1714176582.02,0,0,154.9
1714176592.01,0,0,146.0
1714176602.01,0,0,153.5
1714176612.01,0,0,155.4
1714176622.01,0,0,153.9
1714176632.02,0,0,151.7
1714176642.01,0,0,152.9
1714176652.01,0,0,161.3
1714176661.97,0,0,160.5
1714176671.97,0,0,154.5
1714176682.01,0,0,152.2
